Num_Acc,nb_conducteurs_total,nb_conducteurs_jeunes,pct_conducteurs_jeunes,resp_share_jeunes_total,resp_share_autres_total,resp_share_total_check,p_resp_moyenne_jeunes,resp_share_jeune_1,reason_jeune_1,age_jeune_1,resp_share_jeune_2,reason_jeune_2,age_jeune_2,resp_share_jeune_3,reason_jeune_3,age_jeune_3,resp_share_jeune_4,reason_jeune_4,age_jeune_4
202300003980,3,2,0.6666666666666666,0.752180695483458,0.247819304516542,1.0,0.38472049684408305,0.444912,col:5(+1.5);choc:1(+0.5);obs:2(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),25.0,0.307269,col:5(+1.5);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),25.0,,,,,,
202300003981,2,1,0.5,0.451238179206371,0.548761820793629,1.0,0.3143198860617461,0.451238,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),25.0,,,,,,,,,
202300003983,2,1,0.5,0.44645025076554246,0.5535497492344575,1.0,0.2535060166623378,0.44645,col:1(+2.0);obsm:2(+0.5);vma:80(+0.4);agg:1(+0.3),21.0,,,,,,,,,
202300003985,2,1,0.5,0.3987460009674059,0.601253999032594,1.0,0.2535060166623378,0.398746,col:1(+2.0);catr:3(+0.5);vma:50(+0.2);lum:3(+0.5),20.0,,,,,,,,,
202300003988,1,1,1.0,1.0,0.0,1.0,0.1570954688854527,1.0,obs:13(+1.0);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),24.0,,,,,,,,,
202300003989,2,1,0.5,0.7590829361179282,0.2409170638820718,1.0,0.382252125230751,0.759083,manv:21(+1.0);choc:1(+0.5);obs:6(+1.0);catr:3(+0.5);vma:70(+0.4);lum:3(+0.5);agg:1(+0.3),20.0,,,,,,,,,
202300003998,2,1,0.5,0.4597850386584197,0.5402149613415803,1.0,0.4255574831883409,0.459785,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);vma:110(+1.2);agg:1(+0.3),22.0,,,,,,,,,
202300004002,1,1,1.0,1.0,0.0,1.0,0.54487889237358,1.0,manv:12(+2.0);col:7(+-0.5);choc:1(+0.5);obs:13(+1.0);catr:2(+0.3);vma:110(+1.2);lum:3(+0.5);agg:1(+0.3),23.0,,,,,,,,,
202300004004,2,1,0.5,0.23008850098994785,0.7699114990100522,1.0,0.20100899975052935,0.230089,col:3(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),22.0,,,,,,,,,
202300004006,4,1,0.25,0.15476529226825342,0.8452347077317466,1.0,0.20100899975052935,0.154765,col:5(+1.5);obsm:2(+0.5);vma:70(+0.4);lum:5(+0.3),21.0,,,,,,,,,
202300004007,1,1,1.0,1.0,0.0,1.0,0.20100899975052938,1.0,obs:6(+1.0);obsm:1(+1.5);vma:30(+0.2),22.0,,,,,,,,,
202300004016,2,1,0.5,0.6307120638279105,0.36928793617208955,1.0,0.51499550161941,0.630712,manv:12(+2.0);col:3(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:90(+0.8);agg:1(+0.3),22.0,,,,,,,,,
202300004019,2,1,0.5,0.4608968019738653,0.5391031980261347,1.0,0.440286350732807,0.460897,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);agg:1(+0.3),20.0,,,,,,,,,
202300004021,1,1,1.0,1.0,0.0,1.0,0.06297335605699649,1.0,vma:30(+0.2);lum:5(+0.3),25.0,,,,,,,,,
202300004023,2,1,0.5,0.38463937116924884,0.6153606288307512,1.0,0.36818758226389825,0.384639,col:3(+1.0);choc:8(+0.5);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);lum:3(+0.5);agg:1(+0.3),22.0,,,,,,,,,
202300004025,2,1,0.5,0.4608968019738653,0.5391031980261347,1.0,0.440286350732807,0.460897,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);agg:1(+0.3),20.0,,,,,,,,,
202300004026,2,1,0.5,0.3713375448670763,0.6286624551329236,1.0,0.09279295311715698,0.371338,col:3(+1.0);vma:30(+0.2),24.0,,,,,,,,,
202300004027,2,1,0.5,0.5391031980261347,0.4608968019738653,1.0,0.51499550161941,0.539103,col:2(+2.0);choc:4(+1.0);obsm:2(+0.5);catr:1(+0.5);vma:90(+0.8);agg:1(+0.3),24.0,,,,,,,,,
202300004029,2,1,0.5,0.6673744890402757,0.33262551095972426,1.0,0.7109495026250039,0.667374,manv:10(+2.0);col:2(+2.0);choc:4(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:50(+0.2);lum:5(+0.3),20.0,,,,,,,,,
202300004031,2,1,0.5,0.4407470343515156,0.5592529656484844,1.0,0.18242552380635635,0.440747,col:3(+1.0);obsm:2(+0.5);catr:3(+0.5);vma:30(+0.2);lum:5(+0.3),24.0,,,,,,,,,
202300004035,2,1,0.5,0.5,0.5,1.0,0.20100899975052938,0.5,col:2(+2.0);obsm:2(+0.5);vma:50(+0.2),20.0,,,,,,,,,
202300004040,2,1,0.5,0.4492587924343979,0.5507412075656021,1.0,0.28905049737499605,0.449259,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2);lum:5(+0.3),23.0,,,,,,,,,
